Price,Date Sold,Suburb,Num Bath,Num Bed,Num Parking,Property Size,Type,Suburb Population,Suburb Median Income,Cash Rate,Property Inflation Index,Km From Cbd,Population (Rounded)*,Median House Price (2020),Median House Price (2021),Percentage Change,Median House Rent (Per Week),Median Apartment Price (2020),Median Apartment Rent (Per Week),Public Housing Percentage,Avg. Years Held,Time To Cbd (Public Transport) [Town Hall St],Time To Cbd (Driving) [Town Hall St]
745000,2016-03-24,Ermington,1,4,0,720,House,10737,33644,2.0,155.2,15.0,11000.0,1200000.0,1400000.0,16.67,570.0,725000.0,510.0,17.0,11.7,50.0,30.0
730000,2016-03-24,Petersham,2,3,1,118,Apartment,8116,52884,2.0,155.2,5.99,8500.0,1500000.0,1800000.0,20.0,760.0,750000.0,460.0,3.0,14.8,15.0,15.0
1525000,2016-03-29,Picnic Point,2,5,5,1069,House,6160,40560,2.0,155.2,22.31,6250.0,1000000.0,1200000.0,20.0,625.0,740000.0,580.0,1.0,12.2,60.0,35.0
1225000,2016-03-29,Ermington,1,3,2,936,House,10737,33644,2.0,155.2,15.0,11000.0,1200000.0,1400000.0,16.67,570.0,725000.0,510.0,17.0,11.7,50.0,30.0
675000,2016-03-29,Canley Vale,1,3,1,556,House,10216,20592,2.0,155.2,24.09,10500.0,815000.0,950000.0,16.56,430.0,390000.0,330.0,9.0,11.7,50.0,45.0
950000,2016-03-30,Pennant Hills,2,3,2,466,House,7287,43472,2.0,155.2,18.83,7500.0,1400000.0,1800000.0,28.57,660.0,770000.0,490.0,2.0,12.6,50.0,35.0
900000,2016-03-30,Alexandria,1,2,1,603,Apartment,8262,69732,2.0,155.2,5.06,8500.0,1600000.0,1850000.0,15.63,850.0,745000.0,625.0,1.0,12.8,15.0,10.0
795000,2016-03-30,Woodcroft,2,4,4,431,House,6440,40768,2.0,155.2,32.83,6500.0,710000.0,810000.0,14.08,490.0,725000.0,520.0,2.0,8.4,65.0,40.0
875000,2016-04-13,Oran Park,2,4,2,565,House,4765,50336,2.0,155.2,45.41,5000.0,710000.0,820000.0,15.49,510.0,620000.0,350.0,0.0,1.7,95.0,55.0
845000,2016-04-13,Picnic Point,2,5,4,664,House,6160,40560,2.0,155.2,22.31,6250.0,1000000.0,1200000.0,20.0,625.0,740000.0,580.0,1.0,12.2,60.0,35.0
650000,2016-04-13,Kingswood,2,4,3,638,House,9301,33228,2.0,155.2,46.09,9500.0,620000.0,740000.0,19.35,390.0,420000.0,360.0,11.0,11.0,60.0,50.0
1420000,2016-04-15,Ermington,3,4,2,432,House,10737,33644,2.0,155.2,15.0,11000.0,1200000.0,1400000.0,16.67,570.0,725000.0,510.0,17.0,11.7,50.0,30.0
1250000,2016-04-15,Putney,2,3,1,336,House,4107,44876,2.0,155.2,10.51,4500.0,2150000.0,2550000.0,18.6,920.0,725000.0,580.0,0.0,15.1,40.0,25.0
1710000,2016-04-16,Daceyville,2,4,2,562,House,1209,20800,2.0,155.2,7.21,1250.0,1470000.0,1900000.0,29.25,750.0,725000.0,500.0,69.0,13.0,40.0,15.0
766000,2016-04-16,Revesby,1,3,1,556,House,14176,31616,2.0,155.2,20.44,14500.0,940000.0,1100000.0,17.02,590.0,715000.0,475.0,11.0,12.3,30.0,35.0
518000,2016-04-18,Bradbury,1,3,1,619,House,8800,31980,2.0,155.2,43.6,9000.0,555000.0,650000.0,17.12,395.0,460000.0,310.0,6.0,12.2,90.0,55.0
495000,2016-04-18,Rosemeadow,1,3,1,648,House,7862,32864,2.0,155.2,46.98,8000.0,550000.0,690000.0,25.45,400.0,440000.0,330.0,11.0,12.7,105.0,60.0
